Марка;Ссилка;Ціна в долларах;Ціна в гривнях;Місто
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1858771.html;   27 641 $   ;751 664 грн;Львів 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861210.html;   24 943 $   ;678 298 грн;Житомир 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858958.html;   15 223 $   ;413 965 грн;Житомир 
Renault Arkana 2020Intense+ 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1860090.html;   28 394 $   ;772 132 грн;Житомир 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847224.html;   24 563 $   ;667 965 грн;Житомир 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862665.html;   16 852 $   ;458 278 грн;Миколаїв 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861046.html;   27 641 $   ;751 665 грн;Житомир 
Renault Dokker груз. 2021Authentique 1.5D MT (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1860772.html;   18 269 $   ;496 795 грн;Львів 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860933.html;   16 240 $   ;441 632 грн;Одеса 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1860929.html;   17 144 $   ;466 200 грн;Одеса 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1855906.html;   22 759 $   ;618 900 грн;Київ 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858579.html;   17 144 $   ;466 197 грн;Львів 
Renault Sandero 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1858842.html;   13 809 $   ;375 502 грн;Львів 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858615.html;   12 227 $   ;332 501 грн;Львів 
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862569.html;   16 608 $   ;451 631 грн;Чернівці 
Renault Sandero 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1858832.html;   13 808 $   ;375 500 грн;Харків 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1860016.html;   12 117 $   ;329 499 грн;Житомир 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860017.html;   16 726 $   ;454 831 грн;Житомир 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1859064.html;   32 125 $   ;873 593 грн;Львів 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861755.html;   24 271 $   ;660 000 грн;Чернівці 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1860348.html;   17 725 $   ;482 000 грн;Чернівці 
Renault Dokker пасс. 2021Expression 1.6 МТ (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1861879.html;   17 298 $   ;470 400 грн;Херсон 
Renault Duster 2021Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858831.html;   20 147 $   ;547 877 грн;Кропивницький (Кіровоград) 
Renault Sandero StepWay 2020Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862016.html;   15 756 $   ;428 465 грн;Кропивницький (Кіровоград) 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1855904.html;   17 651 $   ;480 000 грн;Київ 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1855898.html;   29 419 $   ;799 999 грн;Київ 
Renault Logan 2020Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1829256.html;   12 926 $   ;351 500 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859090.html;   16 222 $   ;441 135 грн;Кропивницький (Кіровоград) 
Renault Megane 2020Intense New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1862632.html;   24 282 $   ;660 300 грн;Харків 
Renault Duster 2021Ultramarine 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858071.html;   21 618 $   ;587 875 грн;Кропивницький (Кіровоград) 
Renault Trafic пасс. 2021Combi 1.6D MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1861861.html;   34 954 $   ;950 527 грн;Одеса 
Renault Kadjar 2021Intense 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861860.html;   29 840 $   ;811 465 грн;Одеса 
Renault Arkana 2021Life 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1860355.html;   19 420 $   ;528 099 грн;Івано-Франківськ 
Renault Express Van 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1862437.html;   17 909 $   ;487 000 грн;Харків 
Renault Duster 2021Ultramarine 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1856637.html;   23 009 $   ;625 699 грн;Київ 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1861792.html;   15 321 $   ;416 630 грн;Черкаси 
Renault Express 2021Intense 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-1862289.html;   18 681 $   ;508 000 грн;Харків 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1862585.html;   13 941 $   ;379 100 грн;Харків 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1848789.html;   17 729 $   ;482 100 грн;Суми 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861794.html;   14 268 $   ;388 000 грн;Черкаси 
Renault Sandero StepWay 2021Zen 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1858482.html;   16 503 $   ;448 765 грн;Одеса 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1861074.html;   26 870 $   ;730 687 грн;Київ 
Renault Lodgy 2021Intense 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1862430.html;   20 770 $   ;564 800 грн;Херсон 
Renault Kadjar 2021Zen 1.5 DCi EDC6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861798.html;   27 639 $   ;751 600 грн;Черкаси 
Renault Trafic пасс. 2020Combi 1.6D MT (140 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1855844.html;   34 310 $   ;933 000 грн;Київ 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1858132.html;   11 723 $   ;318 800 грн;Кропивницький (Кіровоград) 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1860810.html;   12 584 $   ;342 199 грн;Одеса 
Renault Sandero 2021Life+ 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1850679.html;   11 749 $   ;319 500 грн;Одеса 
Renault Arkana 2021Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1856638.html;   22 374 $   ;608 431 грн;Київ 
Renault Arkana 2020Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861622.html;   21 068 $   ;572 900 грн;Харків 
Renault Trafic пасс. 2021Combi 1.6D MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1848115.html;   34 089 $   ;927 000 грн;Харків 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1861492.html;   32 302 $   ;878 400 грн;Харків 
Renault Lodgy 2021Intense 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1861625.html;   21 237 $   ;577 500 грн;Харків 
Renault Megane 2021Intense New 1.5D AТ (110 к.с);https://auto.ria.com/newauto/auto-renault-megane-1855901.html;   26 587 $   ;723 000 грн;Київ 
Renault Arkana 2020Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1855856.html;   21 126 $   ;574 500 грн;Київ 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1852880.html;   17 144 $   ;466 200 грн;Одеса 
Renault Megane 2020Life New 1.6 МТ (115 к.с);https://auto.ria.com/newauto/auto-renault-megane-1860266.html;   17 725 $   ;482 000 грн;Харків 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861810.html;   15 354 $   ;417 538 грн;Миколаїв 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1861807.html;   12 209 $   ;332 000 грн;Черкаси 
Renault Duster 2021Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1853454.html;   19 858 $   ;540 000 грн;Харків 
Renault Sandero StepWay 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1848108.html;   15 202 $   ;413 400 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с) ГБО;https://auto.ria.com/newauto/auto-renault-duster-1862345.html;   19 104 $   ;519 500 грн;Харків 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859701.html;   15 691 $   ;426 699 грн;Черкаси 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859713.html;   16 620 $   ;451 965 грн;Черкаси 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1848105.html;   15 298 $   ;416 000 грн;Харків 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1862594.html;   12 216 $   ;332 200 грн;Харків 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1848945.html;   12 216 $   ;332 200 грн;Суми 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1848816.html;   15 324 $   ;416 700 грн;Суми 
Renault Logan 2020Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1846170.html;   15 813 $   ;430 000 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2020Life 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1846053.html;   22 538 $   ;612 900 грн;Дніпро (Дніпропетровськ) 
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862047.html;   15 757 $   ;428 500 грн;Харків 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1844828.html;   16 327 $   ;443 999 грн;Ізмаїл 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1843963.html;   12 190 $   ;331 500 грн;Харків 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1853697.html;   19 336 $   ;525 800 грн;Харків 
Renault Dokker пасс. 2021Expression 1.6 МТ (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1848106.html;   17 298 $   ;470 400 грн;Харків 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1856636.html;   15 223 $   ;413 965 грн;Київ 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862053.html;   16 728 $   ;454 900 грн;Харків 
Renault Sandero 2021Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1860345.html;   13 930 $   ;378 800 грн;Харків 
Renault Duster 2021Ultramarine 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1843962.html;   23 631 $   ;642 600 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1848798.html;   17 144 $   ;466 200 грн;Суми 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1848802.html;   19 336 $   ;525 800 грн;Суми 
Renault Duster 2021Life 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1845010.html;   22 252 $   ;605 100 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861077.html;   17 144 $   ;466 200 грн;Київ 
Renault Logan 2020Life+ New 0.9 MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1854364.html;   13 238 $   ;360 000 грн;Чернігів 
Renault Dokker пасс. 2021Expression 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-dokker-pass-1858999.html;   19 336 $   ;525 802 грн;Львів 
Renault Duster 2021Ultramarine 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1858931.html;   20 825 $   ;566 300 грн;Львів 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1862070.html;   16 728 $   ;454 900 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1838655.html;   17 144 $   ;466 200 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1845003.html;   19 166 $   ;521 200 грн;Харків 
Renault Master груз. 2021TFG 1 223 D6 2.3D MT (125 к.с) L2H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1859464.html;   31 892 $   ;867 264 грн;Черкаси 
Renault Express 2021Life 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-1860904.html;   16 710 $   ;454 402 грн;Львів 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1860100.html;   16 726 $   ;454 831 грн;Житомир 
Renault Duster 2021Ultramarine 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1845017.html;   21 380 $   ;581 400 грн;Харків 
Renault Sandero StepWay 2021Life+ 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859035.html;   15 584 $   ;423 791 грн;Кропивницький (Кіровоград) 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1860349.html;   24 796 $   ;674 298 грн;Миколаїв 
Renault Sandero 2021Life+ 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1860610.html;   14 176 $   ;385 500 грн;Харків 
Renault Arkana 2021Zen 1.6i MT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861186.html;   20 001 $   ;543 900 грн;Івано-Франківськ 
Renault Arkana 2021Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861185.html;   25 793 $   ;701 400 грн;Івано-Франківськ 
Renault Arkana 2021Zen 1.6 CVT (114 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1861184.html;   21 479 $   ;584 100 грн;Івано-Франківськ 
Renault Sandero StepWay 2021Life+ 0.9TCe 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1859817.html;   14 496 $   ;394 200 грн;Харків 
Renault Lodgy 2021Intense 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1858272.html;   21 170 $   ;575 700 грн;Чернігів 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840858.html;   16 728 $   ;454 900 грн;Харків 
Renault Master груз. 2020TFG 1 323 D6 2.3D MT (125 к.с) L3H2 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1855475.html;   40 083 $   ;1 090 000 грн;Харків 
Renault Duster 2021Intense 1.5 D EDC (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1841436.html;   23 928 $   ;650 699 грн;Київ 
Renault Logan 2020Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1828952.html;   14 029 $   ;381 500 грн;Дніпро (Дніпропетровськ) 
Renault Sandero 2021Life+ 1.5DCi 5MT (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-1859433.html;   14 280 $   ;388 320 грн;Рівне 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с);https://auto.ria.com/newauto/auto-renault-arkana-1847413.html;   24 134 $   ;656 299 грн;Ізмаїл 
Renault Logan 2021Life+ New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1843965.html;   13 915 $   ;378 400 грн;Харків 
Renault Logan 2021Life+ New 1.0 MT (73 к.с);https://auto.ria.com/newauto/auto-renault-logan-1862272.html;   12 216 $   ;332 200 грн;Чернігів 
Renault Sandero StepWay 2021Zen 1.5DСi 5МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1844592.html;   17 282 $   ;469 965 грн;Ізмаїл 
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 к.с);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1855763.html;   16 037 $   ;436 110 грн;Рівне 
Renault Express Van 2021Zen 1.6 МТ (110 к.с);https://auto.ria.com/newauto/auto-renault-express-van-1861382.html;   16 217 $   ;441 000 грн;Харків 
Renault Kadjar 2021Zen 1.5 DCi MT6 (110 к.с);https://auto.ria.com/newauto/auto-renault-kadjar-1861227.html;   23 017 $   ;625 900 грн;Івано-Франківськ 
Renault Express 2021Zen 1.5D МТ (95 к.с);https://auto.ria.com/newauto/auto-renault-express-1861469.html;   19 905 $   ;541 300 грн;Харків 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1853457.html;   14 496 $   ;394 200 грн;Дніпро (Дніпропетровськ) 
Renault Logan 2021Zen New 1.5d MT (90 к.с);https://auto.ria.com/newauto/auto-renault-logan-1858721.html;   15 223 $   ;413 965 грн;Київ 
Renault Lodgy 2021Intense 1.5D МТ (90 к.с);https://auto.ria.com/newauto/auto-renault-lodgy-1858433.html;   21 174 $   ;575 800 грн;Рівне 
Renault Trafic пасс. 2021Combi 1.6D MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1853264.html;   32 625 $   ;887 200 грн;Дніпро (Дніпропетровськ) 
Renault Kangoo груз. 2021Z.E.33 MT (60 к.с) Maxi;https://auto.ria.com/newauto/auto-renault-kangoo-gruz-1829265.html;   40 892 $   ;1 112 000 грн;Дніпро (Дніпропетровськ) 
Renault Trafic пасс. 2021Combi 1.6D MT (140 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1853268.html;   31 776 $   ;864 100 грн;Дніпро (Дніпропетровськ) 
Renault Trafic пасс. 2021Combi 1.6D MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1855602.html;   35 303 $   ;960 000 грн;Харків 
Renault Trafic пасс. 2021Combi 1.6D MT (140 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1853265.html;   34 166 $   ;929 100 грн;Дніпро (Дніпропетровськ) 
Renault Trafic пасс. 2021Combi 1.6D MT (115 к.с) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1853266.html;   30 235 $   ;822 200 грн;Дніпро (Дніпропетровськ) 
Renault Dokker груз. 2021Expression 1.6 MT (84 к.с);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1845911.html;   14 856 $   ;404 000 грн;Харків 
Renault Duster 2021Life 1.6 MT (115 к.с);https://auto.ria.com/newauto/auto-renault-duster-1859969.html;   17 144 $   ;466 200 грн;Харків 
Renault Duster 2021Life 1.5 D MT (110 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1856403.html;   20 781 $   ;565 100 грн;Дніпро (Дніпропетровськ) 
Renault Duster 2021Life 1.6 MT (115 к.с) AWD;https://auto.ria.com/newauto/auto-renault-duster-1861193.html;   19 166 $   ;521 200 грн;Івано-Франківськ 
Renault Duster 2021Life 1.5 D MT (110 к.с);https://auto.ria.com/newauto/auto-renault-duster-1861195.html;   19 876 $   ;540 500 грн;Івано-Франківськ 
Renault Arkana 2020Intense 1.3 TCe CVT (150 к.с) 4WD;https://auto.ria.com/newauto/auto-renault-arkana-1859330.html;   26 106 $   ; 26 841 $;Рівне 
